"MC","","1","The Neolithic Agricultural Revolution is best defined as","2","the migration of hunter-forager bands out of Africa and across Eurasia.","the shift from hunting and gathering to settled agriculture.","the invention of writing in order to record surplus grain.","the domestication of the camel, which opened desert trade routes."
"MC","","1","SOURCE: Source note: the Cyrus Cylinder, Babylon, shortly after 539 BCE

The Cyrus Cylinder is a barrel-shaped clay object about 22 centimetres long, inscribed in Akkadian cuneiform and buried in the foundations of a building in Babylon shortly after Cyrus the Great took the city in 539 BCE. It is written in the first person, in the voice of the Persian king.

In it, Cyrus presents himself as chosen by Marduk, the chief god of Babylon, and describes the defeated Babylonian king as a ruler who had neglected the gods and burdened his own people. Cyrus claims to have entered the city peacefully, restored damaged sanctuaries, returned images of gods that earlier rulers had carried off to their home cities, and allowed displaced people to go back to their own settlements.

The cylinder was a foundation deposit. It was written by Babylonian scribes, in the Babylonian language, using the conventions Babylonian kings had used for centuries to announce a legitimate reign, and it was sealed into a wall rather than published.

The approach to conquered peoples described in the cylinder was carried into Persian administration chiefly through","1","satrapies, whose governors collected tribute while local laws, languages and religions continued.","an examination system that recruited officials from conquered populations by merit.","the extension of Persian citizenship to the peoples of each new province.","the resettlement of conquered populations into planned administrative cities built near the imperial capital."
"MC","","1","SOURCE: Artifact: Song dynasty celadon excavated at Kilwa, East African coast

Honolulu Museum of Art, via Wikimedia Commons. Used in Foundations 4, Evidence Lab.

Chinese celadon pottery of the Song dynasty, 960 to 1279 CE, has been excavated at Kilwa on the coast of what is now Tanzania, roughly 7,000 kilometres from the kilns that produced it. Porcelain and stoneware sherds are among the most useful markers archaeologists have for this network: the glaze and body identify a kiln and a period, the material survives burial, and sherds turn up at nearly every Indian Ocean port that took part in the trade. Persian glass and Indian textiles appear in the same excavation layers at Kilwa. Gold and ivory from the African interior left through the same harbour.

Which conclusion does this evidence most strongly support?","3","Kilwa's wealth came primarily from manufacturing goods for export.","Chinese merchant fleets established permanent trading colonies along the East African coast during the Song period.","Kilwa was an active participant in an exchange system that linked East Africa to China.","East African rulers preferred Chinese goods to goods produced anywhere else."
"MC","","1","SOURCE: Artifact: Song dynasty celadon excavated at Kilwa, East African coast

Honolulu Museum of Art, via Wikimedia Commons. Used in Foundations 4, Evidence Lab.

Chinese celadon pottery of the Song dynasty, 960 to 1279 CE, has been excavated at Kilwa on the coast of what is now Tanzania, roughly 7,000 kilometres from the kilns that produced it. Porcelain and stoneware sherds are among the most useful markers archaeologists have for this network: the glaze and body identify a kiln and a period, the material survives burial, and sherds turn up at nearly every Indian Ocean port that took part in the trade. Persian glass and Indian textiles appear in the same excavation layers at Kilwa. Gold and ivory from the African interior left through the same harbour.

Which is the most significant limitation of porcelain sherds as evidence about this trade network?","2","Porcelain can be dated only to within several centuries, so the chronology remains unclear.","They show that goods arrived but not who carried them, through how many hands, or what travelled alongside them.","Porcelain rarely survives burial, so surviving sherds are unrepresentative.","Porcelain was too valuable to be traded commercially, so its presence must be explained by diplomatic gift exchange between rulers."
"MC","","1","SOURCE: Secondary source: how paper travelled

Passage written for this exam.

In 751 CE a Tang Chinese army and an Abbasid army met at Talas, in Central Asia, and the Tang force was defeated. Among the prisoners were craftsmen who made paper, a material so ordinary in Chang'an that it was used for tax records, poetry drafts and wiping tables. Paper mills appear at Samarkand soon afterward, and paper is documented at Baghdad by 794 CE. Within a generation the Abbasid translation movement was copying Greek, Persian and Indian works at a scale that papyrus and parchment had never permitted: a parchment codex required the skins of a herd, while paper could be made from rags and plant fibre almost anywhere there was water. Paper reached Christian Europe through Islamic Spain around 1150 CE, three centuries before Gutenberg's press.

Nothing about this transfer required a merchant to travel from China to Iraq. The overland routes worked as a relay: goods and people moved from one oasis city to the next, changing hands at each stage, with a Chinese trader selling to a Sogdian, a Sogdian to a Persian, a Persian to an Arab, and each intermediary taking a margin and assuming the risk of the next leg. What moved along the relay was whatever the people on it happened to be carrying, including skills, texts, seeds and disease.

The passage best supports which generalization about technology transfer?","4","Technology moved most readily between societies that shared a religion, since religious networks supplied the trust and the shared language technical exchange required.","Technology moved westward from China but almost never in the other direction.","Technology moved only where states deliberately sponsored its transfer.","Technology moved through conflict as well as through commerce, and often by way of ordinary practitioners rather than officials or scholars."
"MC","","1","SOURCE: Secondary source: how paper travelled

Passage written for this exam.

In 751 CE a Tang Chinese army and an Abbasid army met at Talas, in Central Asia, and the Tang force was defeated. Among the prisoners were craftsmen who made paper, a material so ordinary in Chang'an that it was used for tax records, poetry drafts and wiping tables. Paper mills appear at Samarkand soon afterward, and paper is documented at Baghdad by 794 CE. Within a generation the Abbasid translation movement was copying Greek, Persian and Indian works at a scale that papyrus and parchment had never permitted: a parchment codex required the skins of a herd, while paper could be made from rags and plant fibre almost anywhere there was water. Paper reached Christian Europe through Islamic Spain around 1150 CE, three centuries before Gutenberg's press.

Nothing about this transfer required a merchant to travel from China to Iraq. The overland routes worked as a relay: goods and people moved from one oasis city to the next, changing hands at each stage, with a Chinese trader selling to a Sogdian, a Sogdian to a Persian, a Persian to an Arab, and each intermediary taking a margin and assuming the risk of the next leg. What moved along the relay was whatever the people on it happened to be carrying, including skills, texts, seeds and disease.

According to the passage, what is the mechanism linking the capture of papermakers at Talas to the scale of the Abbasid translation movement?","1","Paper could be produced from rags and plant fibre, which made copying texts far cheaper than parchment allowed.","The prisoners were scholars who brought Greek and Indian works with them.","Abbasid rulers taxed paper and used the revenue to fund translation.","Paper was more durable than parchment, so a far greater number of Greek and Indian texts survived long enough to be translated."
"MC","","1","SOURCE: Secondary source: how paper travelled

Passage written for this exam.

In 751 CE a Tang Chinese army and an Abbasid army met at Talas, in Central Asia, and the Tang force was defeated. Among the prisoners were craftsmen who made paper, a material so ordinary in Chang'an that it was used for tax records, poetry drafts and wiping tables. Paper mills appear at Samarkand soon afterward, and paper is documented at Baghdad by 794 CE. Within a generation the Abbasid translation movement was copying Greek, Persian and Indian works at a scale that papyrus and parchment had never permitted: a parchment codex required the skins of a herd, while paper could be made from rags and plant fibre almost anywhere there was water. Paper reached Christian Europe through Islamic Spain around 1150 CE, three centuries before Gutenberg's press.

Nothing about this transfer required a merchant to travel from China to Iraq. The overland routes worked as a relay: goods and people moved from one oasis city to the next, changing hands at each stage, with a Chinese trader selling to a Sogdian, a Sogdian to a Persian, a Persian to an Arab, and each intermediary taking a margin and assuming the risk of the next leg. What moved along the relay was whatever the people on it happened to be carrying, including skills, texts, seeds and disease.

The passage's description of the relay best explains why","2","Silk Road goods were more expensive at each successive stage of the route.","the same routes that carried cargo also carried skills, religions, crops and disease.","no state along the overland routes was able to tax the trade passing through it effectively.","Chinese merchants controlled the profits of the entire overland network."
"MC","","1","SOURCE: Data: six regions at c.1200 CE

Table compiled for this exam from the Foundations unit.

Region | Scale the unit records | An institution operating by c.1200 | Principal exchange network

Song China | Lin'an (Hangzhou) approaching 1.5 million; population over 100 million | Civil service examination; government-issued paper money | Indian Ocean, through Quanzhou

Dar al-Islam | Not given | Madrasas funded by permanent waqf endowments | Silk Roads, Indian Ocean and trans-Saharan

East Africa | Not given | Swahili coast port city-states such as Kilwa | Indian Ocean

West Africa | Not given | Mali consolidating control of trans-Saharan gold routes | Trans-Saharan

The Americas | Cahokia 10,000 to 20,000, the largest city north of Mexico | Post-Toltec Mesoamerican city-state competition | Regional networks reaching the Gulf Coast

Europe | Not given | First universities: Bologna 1088, Paris c.1150, Oxford c.1167 | Mediterranean

The table best supports which claim about the world at c.1200?","1","The largest cities and the densest commercial institutions lay in Asia and Africa rather than in Europe.","Regions that founded universities developed faster than regions that relied on other kinds of religious school.","The Americas were the only region without complex political organization.","All six regions were joined into a single exchange network."
"MC","","1","SOURCE: Data: six regions at c.1200 CE

Table compiled for this exam from the Foundations unit.

Region | Scale the unit records | An institution operating by c.1200 | Principal exchange network

Song China | Lin'an (Hangzhou) approaching 1.5 million; population over 100 million | Civil service examination; government-issued paper money | Indian Ocean, through Quanzhou

Dar al-Islam | Not given | Madrasas funded by permanent waqf endowments | Silk Roads, Indian Ocean and trans-Saharan

East Africa | Not given | Swahili coast port city-states such as Kilwa | Indian Ocean

West Africa | Not given | Mali consolidating control of trans-Saharan gold routes | Trans-Saharan

The Americas | Cahokia 10,000 to 20,000, the largest city north of Mexico | Post-Toltec Mesoamerican city-state competition | Regional networks reaching the Gulf Coast

Europe | Not given | First universities: Bologna 1088, Paris c.1150, Oxford c.1167 | Mediterranean

Which conclusion goes beyond what this table can show?","4","Kilwa and Mali owed their positions to different exchange networks.","The unit records population figures for some regions and not for others.","Song China had commercial institutions that none of the other regions in the table are recorded as having.","Europe's new universities already gave it an intellectual advantage over Dar al-Islam by c.1200."
"MC","","1","CAUSATION. Which of the following is the strongest causation statement about the rise of the first river-valley civilizations?","3","The first civilizations arose in Mesopotamia along the Tigris and Euphrates, in Egypt along the Nile, in the Indus valley, and along the Huang He in northern China, all within a span of roughly two thousand years.","The first river-valley civilizations were among the most important developments in world history.","Annual floods deposited fertile soil that produced grain surpluses, which freed part of the population from farming and made specialized labour, government and the first cities possible.","Because geography determines the course of human history, civilization had to begin in river valleys."
"MC","","1","CAUSATION. Which of the following is a valid causation statement about the Plague of Justinian, rather than a statement of correlation or of consequence alone?","2","The Plague of Justinian and the peak of Indian Ocean grain shipping into Egypt both occurred during the sixth century CE, within a few decades of one another.","Grain ships carried rats, whose fleas carried the plague bacillus, so the network that fed Constantinople also delivered the epidemic that emptied it.","The Eastern Roman Empire lost an estimated 25 to 50 million people to the plague.","Long-distance trade networks always endanger the societies that build them."
"MC","","1","CONTINUITY AND CHANGE OVER TIME. Which of the following is the strongest CCOT statement about Afro-Eurasian trade across the year 1200?","4","Trade after 1200 was more advanced than trade before 1200.","Everything about Afro-Eurasian trade changed once the Mongols unified the steppe and opened a single secure corridor running from the Pacific to the Black Sea, so that the commerce of the previous era no longer resembled what came after it in any important respect.","Afro-Eurasian trade did not really change, because merchants had always moved goods between distant regions.","The Silk Roads, the Indian Ocean system and the trans-Saharan routes were already centuries old by 1200, so what changed afterward was the political security, volume and speed of exchange rather than the existence of the networks themselves."
"MC","","1","COMPARISON. Which of the following is the strongest comparison statement about how Achaemenid Persia and Han China administered their territories?","3","Persia governed through satrapies whose governors collected tribute for the King of Kings, while Han China governed through a bureaucracy of officials increasingly selected for their education rather than for their noble birth, and both empires maintained road systems that carried armies and official messages across great distances.","Persia and Han China were both large ancient empires ruled by a single monarch.","Both had to administer populations far from the capital, but Persia delegated to satraps who left local law and religion intact while the Han centralized through officials trained in one curriculum, so Persia purchased stability with local autonomy and the Han purchased it with uniformity.","Persia was more tolerant than Han China, which made it the more successful empire."
"MC","","1","CONTEXTUALIZATION. Which of the following performs contextualization for an argument about Song China's prosperity, rather than merely introducing the topic?","2","Song China existed during a long period of Confucian tradition in East Asia, a tradition that had shaped Chinese government, family life, education and law since the Han dynasty and that went on shaping them under the Song and for centuries afterward.","When Jurchen Jin forces drove the Song court south in 1127, they placed the government in the Yangtze Delta, the world's most productive wet-rice zone, where double-cropped Champa rice fed a population approaching 100 million and customs revenue at Quanzhou funded the state.","Song China was one of many important civilizations that students of world history study, alongside the Islamic caliphates, the kingdoms of West Africa, the states of South and Southeast Asia, and the societies of the Americas.","This response will explain the reasons for Song China's prosperity at c.1200."
"MC","","1","SOURCING. A historian examines the Catalan Atlas, drawn in Mallorca in 1375, which shows Mali's Mansa Musa enthroned holding a gold nugget as a camel-mounted Saharan trader approaches. Which of the following is the strongest sourcing statement?","1","Because a European mapmaker drew it in Mallorca decades after Mansa Musa's reign, the atlas is stronger evidence for how Mali's wealth was understood in Mediterranean Europe than for practice at the Malian court.","The atlas cannot be trusted, because Europeans knew little about West Africa.","The atlas is a primary source from the period, so its depiction of the Malian court can be taken as accurate.","The atlas proves that the ruler of Mali personally controlled most of the gold circulating in the medieval world, since a European mapmaker with access to merchant reports chose to depict him enthroned and holding a nugget of it."
"MC","","1","ARGUMENTATION. Which of the following is a defensible thesis about Afro-Eurasian trade before c.1200, rather than a summary or a description?","4","The Silk Roads were one of the most important developments in all of world history.","Trade networks before c.1200 moved goods, people, ideas, crops and diseases across Afro-Eurasia, connecting societies from the Mediterranean and West Africa to South Asia, Southeast Asia and China, in some cases over distances of many thousands of kilometres.","Three major networks connected Afro-Eurasia before c.1200: the Silk Roads, the Indian Ocean system and the trans-Saharan routes.","Between roughly 300 and 1200 CE the most consequential cargo on Afro-Eurasian routes was institutional rather than material, since shared commercial law and portable credit expanded exchange more than any single commodity did."
"MC","","1","CAUSATION. Which of the following best explains why the Han suppression of the Yellow Turban Rebellion contributed to the dynasty's collapse by 220 CE?","3","The rebellion of 184 CE killed the Han emperor and left no successor.","The Han had lost the Mandate of Heaven, which caused the dynasty to fall.","To defeat a rising of some 400,000 peasants the Han empowered regional warlords, whose private armies then became the instruments that broke the empire apart.","The rebellion of 184 CE was caused by over-taxation, corruption at the imperial court, and the decay of the flood-control works on which peasant agriculture depended."
